iter	Passed	Remaining
400	28359	42363
401	28411	42263
402	28462	42164
403	28524	42080
404	28590	42003
405	28656	41925
406	28718	41842
407	28782	41762
408	28840	41674
409	28895	41581
410	28962	41505
411	29033	41436
412	29090	41345
413	29165	41282
414	29222	41192
415	29292	41122
416	29348	41031
417	29414	40954
418	29480	40879
419	29550	40807
420	29617	40732
421	29687	40662
422	29742	40571
423	29831	40525
424	29887	40436
425	29943	40346
426	29997	40254
427	30071	40189
428	30143	40120
429	30203	40037
430	30277	39972
431	30336	39886
432	30395	39801
433	30446	39707
434	30501	39616
435	30554	39524
436	30616	39444
437	30673	39357
438	30728	39268
439	30814	39218
440	30875	39137
441	30942	39062
442	31024	39008
443	31086	38927
444	31162	38865
445	31214	38772
446	31275	38692
447	31351	38629
448	31405	38540
449	31461	38453
450	31550	38406
451	31620	38335
452	31682	38256
453	31733	38164
454	31802	38092
455	31875	38027
456	31948	37960
457	32002	37871
458	32062	37790
459	32136	37725
460	32189	37636
461	32245	37550
462	32306	37470
463	32369	37391
464	32458	37345
465	32523	37269
466	32588	37194
467	32692	37163
468	32748	37077
469	32809	36997
470	32898	36949
471	32955	36865
472	33031	36802
473	33102	36734
474	33163	36654
475	33225	36575
476	33299	36511
477	33365	36436
478	33431	36362
479	33488	36279
480	33561	36212
481	33632	36144
482	33688	36060
483	33745	35976
484	33805	35896
485	33886	35839
486	33995	35810
487	34071	35746
488	34128	35664
489	34185	35580
490	34242	35498
491	34301	35417
492	34366	35342
493	34449	35286
494	34502	35199
495	34566	35123
496	34628	35046
497	34683	34962
498	34736	34875
499	34811	34811
500	34863	34724
501	34930	34652
502	34991	34574
503	35053	34497
504	35125	34430
505	35182	34348
506	35264	34290
507	35324	34211
508	35397	34145
509	35475	34084
510	35553	34022
511	35627	33957
512	35683	33874
513	35748	33801
514	35807	33721
515	35860	33636
516	35913	33551
517	36002	33500
518	36069	33428
519	36136	33356
520	36193	33276
521	36257	33201
522	36326	33131
523	36388	33055
524	36443	32972
525	36519	32908
526	36575	32828
527	36629	32744
528	36688	32665
529	36745	32585
530	36810	32512
531	36908	32468
532	36959	32382
533	37042	32325
534	37107	32252
535	37183	32189
536	37242	32110
537	37308	32038
538	37396	31984
539	37454	31905
540	37512	31826
541	37574	31751
542	37634	31673
543	37688	31591
544	37788	31548
545	37855	31476
546	37916	31400
547	37975	31322
548	38064	31269
549	38120	31189
550	38174	31107
551	38237	31033
552	38305	30963
553	38372	30891
554	38437	30818
555	38510	30753
556	38594	30695
557	38714	30666
558	38821	30626
559	38952	30605
560	39037	30547
561	39257	30596
562	39414	30593
563	39538	30565
564	39664	30538
565	39792	30512
566	39924	30488
567	40053	30463
568	40165	30424
569	40330	30424
570	40429	30375
571	40579	30363
572	40708	30336
573	40813	30290
574	40915	30241
575	41088	30245
576	41275	30258
577	41616	30384
578	41731	30343
579	41844	30300
580	41914	30227
581	42038	30192
582	42147	30146
583	42305	30135
584	42425	30096
585	42518	30038
586	42685	30032
587	42786	29979
588	42905	29938
589	43044	29912
590	43117	29839
591	43193	29768
592	43270	29698
593	43342	29624
594	43426	29559
595	43491	29480
596	43556	29402
597	43702	29378
598	43813	29330
599	43911	29274
600	43985	29201
601	44055	29126
602	44123	29050
603	44198	28978
604	44354	28958
605	44460	28906
606	44527	28829
607	44587	28747
608	44664	28676
609	44755	28614
610	44830	28541
611	44954	28500
612	45044	28437
613	45115	28362
614	45173	28279
615	45245	28204
616	45353	28153
617	45531	28144
618	45618	28078
619	45689	28003
620	45780	27940
621	45864	27872
622	46002	27837
623	46118	27789
624	46227	27736
625	46385	27712
626	46469	27644
627	46535	27565
628	46599	27485
629	46666	27407
630	46728	27326
631	46857	27284
632	46927	27207
633	46986	27124
634	47059	27050
635	47118	26966
636	47180	26886
637	47245	26806
638	47308	26726
639	47371	26646
640	47429	26563
641	47494	26484
642	47563	26407
643	47626	26327
644	47683	26244
645	47747	26165
646	47839	26100
647	47911	26026
648	47965	25941
649	48024	25859
650	48088	25780
651	48152	25700
652	48207	25617
653	48277	25541
654	48378	25481
655	48453	25408
656	48512	25326
657	48591	25256
658	48678	25188
659	48743	25110
660	48809	25032
661	48910	24972
662	48976	24894
663	49042	24816
664	49104	24736
665	49180	24664
666	49270	24598
667	49343	24523
668	49422	24452
669	49489	24375
670	49546	24293
671	49608	24213
672	49675	24136
673	49741	24058
674	49904	24028
675	50050	23988
676	50151	23927
677	50244	23862
678	50360	23808
679	50474	23752
680	50539	23674
681	50612	23599
682	50678	23521
683	50761	23451
684	50831	23375
685	50962	23326
686	51098	23280
687	51202	23219
688	51279	23146
689	51345	23068
690	51403	22986
691	51468	22908
692	51556	22839
693	51689	22790
694	51810	22736
695	51880	22660
696	51951	22584
697	52058	22524
698	52168	22464
699	52234	22386
700	52298	22306
701	52364	22228
702	52442	22155
703	52524	22083
704	52577	22000
705	52635	21919
706	52702	21841
707	52762	21760
708	52831	21684
709	52901	21607
710	52961	21527
711	53033	21451
712	53106	21376
713	53201	21310
714	53262	21230
715	53326	21151
716	53383	21070
717	53449	20992
718	53514	20914
719	53577	20835
720	53633	20754
721	53709	20680
722	53782	20605
723	53834	20522
724	53905	20447
725	53961	20365
726	54029	20288
727	54094	20211
728	54162	20134
729	54260	20068
730	54321	19989
731	54376	19908
732	54447	19832
733	54511	19754
734	54564	19672
735	54629	19595
736	54681	19513
737	54752	19438
738	54810	19357
739	54864	19276
740	54927	19198
741	55000	19124
742	55059	19044
743	55124	18967
744	55210	18897
745	55304	18830
746	55366	18752
747	55432	18674
748	55487	18594
749	55540	18513
750	55596	18433
751	55679	18362
752	55738	18283
753	55804	18206
754	55867	18129
755	55927	18050
756	55980	17970
757	56057	17896
758	56119	17819
759	56176	17739
760	56246	17664
761	56347	17599
762	56403	17519
763	56463	17441
764	56522	17363
765	56573	17282
766	56633	17204
767	56693	17126
768	56750	17047
769	56830	16975
770	56896	16899
771	56951	16820
772	57004	16739
773	57060	16661
774	57122	16583
775	57188	16508
776	57244	16429
777	57300	16350
778	57406	16286
779	57466	16208
780	57534	16133
781	57593	16055
782	57658	15979
783	57717	15901
784	57798	15830
785	57860	15753
786	57914	15674
787	57975	15597
788	58050	15524
789	58114	15448
790	58173	15370
791	58236	15294
792	58315	15222
793	58376	15145
794	58467	15076
795	58536	15001
796	58600	14925
797	58680	14853
798	58786	14788
799	58983	14745
800	59130	14690
801	59251	14628
802	59428	14579
803	59642	14539
804	59817	14490
805	59993	14440
806	60099	14373
807	60275	14322
808	60417	14264
809	60626	14221
810	60722	14150
811	60847	14087
812	60972	14024
813	61149	13972
814	61256	13904
815	61422	13850
816	61572	13791
817	61714	13731
818	61903	13680
819	62012	13612
820	62107	13541
821	62239	13477
822	62375	13414
823	62503	13350
824	62609	13280
825	62805	13230
826	62937	13165
827	63090	13105
828	63207	13037
829	63335	12972
830	63462	12906
831	63606	12843
832	63753	12781
833	63973	12733
834	64112	12669
835	64239	12602
836	64345	12530
837	64463	12461
838	64587	12394
839	64785	12340
840	64954	12280
841	65263	12246
842	65506	12199
843	65644	12133
844	65753	12061
845	65854	11987
846	65944	11912
847	66095	11847
848	66194	11773
849	66279	11696
850	66414	11628
851	66504	11552
852	66582	11474
853	66665	11397
854	66765	11322
855	66873	11249
856	67045	11187
857	67273	11133
858	67387	11061
859	67473	10984
860	67604	10914
861	67677	10834
862	67780	10760
863	67914	10690
864	67991	10611
865	68112	10539
866	68288	10475
867	68383	10399
868	68472	10322
869	68574	10246
870	68651	10167
871	68740	10090
872	68819	10011
873	68902	9933
874	69047	9863
875	69160	9789
876	69261	9713
877	69396	9642
878	69488	9565
879	69581	9488
880	69664	9409
881	69759	9332
882	69855	9256
883	69947	9178
884	70044	9101
885	70120	9022
886	70213	8944
887	70326	8870
888	70581	8812
889	70660	8733
890	70746	8654
891	70830	8575
892	70922	8497
893	71021	8420
894	71106	8342
895	71221	8266
896	71326	8190
897	71425	8112
898	71515	8034
899	71672	7963
900	71846	7894
901	71992	7821
902	72115	7746
903	72222	7669
904	72322	7591
905	72419	7513
906	72509	7434
907	72610	7357
908	72738	7281
909	72826	7202
