iter	Logloss
0	0.6141918493
1	0.5657744826
2	0.5179824797
3	0.4842349743
4	0.4526812313
5	0.4317148322
6	0.4134896084
7	0.3957422661
8	0.3840044939
9	0.373153483
10	0.3641330283
11	0.3570661074
12	0.3507300583
13	0.3452127915
14	0.3410399141
15	0.3359663489
16	0.3319504636
17	0.328542239
18	0.3258802719
19	0.3237669006
20	0.3216201551
21	0.3194689582
22	0.3174829299
23	0.3161892638
24	0.3144463267
25	0.3129750464
26	0.311772197
27	0.3109466428
28	0.3097586585
29	0.3086497494
30	0.3078241573
31	0.3068492752
32	0.306057951
33	0.3052172505
34	0.3044232222
35	0.3035091856
36	0.3028543393
37	0.302307788
38	0.3014033005
39	0.3004640825
40	0.2997408717
41	0.2992288247
42	0.298596043
43	0.2979827142
44	0.2970422508
45	0.2964923388
46	0.2961937215
47	0.2957849857
48	0.2952785228
49	0.2949937616
50	0.2942544924
51	0.2939870387
52	0.2936179947
53	0.2931189836
54	0.2927070219
55	0.2923954312
56	0.2920713566
57	0.291652585
58	0.2914187534
59	0.2909897659
60	0.2907264143
61	0.2904288383
62	0.2900155097
63	0.2898349282
64	0.2895019162
65	0.289250681
66	0.2890260741
67	0.2888833375
68	0.2886592916
69	0.288446562
70	0.2881995882
71	0.287702259
72	0.2875179245
73	0.2872919075
74	0.2866548706
75	0.2863262744
76	0.286104491
77	0.2859584642
78	0.285837557
79	0.2856123966
80	0.2853503867
81	0.2851133227
82	0.2849650664
83	0.2848361314
84	0.284699766
85	0.2844006019
86	0.2839268223
87	0.2836965744
88	0.2835485658
89	0.2834634066
90	0.2832481316
91	0.2831264699
92	0.2831104646
93	0.2830077187
94	0.2830067687
95	0.2829536925
96	0.2827693989
97	0.2826111506
98	0.2824967783
99	0.2823325409
100	0.2823221623
101	0.2822203065
102	0.2820775794
103	0.281884563
104	0.2817773728
105	0.2815157043
106	0.2813888353
107	0.2811553608
108	0.2809762837
109	0.280310977
110	0.2798337881
111	0.2796880213
112	0.2795452984
113	0.2794818199
114	0.2789459801
115	0.2788932521
116	0.2788311757
117	0.2786697671
118	0.2784497036
119	0.2783233229
120	0.2782812922
121	0.2779445385
122	0.2776795371
123	0.2775491486
124	0.2774220115
125	0.2773243294
126	0.2770237734
127	0.2769110171
128	0.2765249052
129	0.2764003975
130	0.2762747784
131	0.2761937881
132	0.2760505205
133	0.2759474826
134	0.2757560687
135	0.2755267589
136	0.27538739
137	0.2751660377
138	0.2751129695
139	0.2749269041
140	0.2747890082
141	0.2746161658
142	0.2744957804
143	0.2743797926
144	0.2742618708
145	0.2738700507
146	0.2737519065
147	0.2735530553
148	0.2731735128
149	0.2729517419
150	0.2728614021
151	0.2725828119
152	0.2724826284
153	0.2724154028
154	0.2717174151
155	0.2716802435
156	0.2715421833
